"","reviewid","label"
"480",22243,"fiction"
"481",22328,"domino"
"482",22279,"paradise of bachelors"
"483",22256,"anti-"
"484",22340,"self-released"
"485",22251,"profound lore"
"486",22257,"domino"
"487",22132,"mca"
"488",22254,"polyvinyl"
"489",22252,"studio barnhus"
"490",22260,"artoffact"
"491",22321,"love justice sarl/justice sarl"
"492",22280,"mello music group"
"493",22231,"uno"
"494",22311,"thirty tigers"
"495",22295,"self-released"
"496",22285,"self-released"
"497",22249,"erased tapes"
"498",22258,"new amsterdam"
"499",22258,"nna tapes"
"500",22211,"interscope"
"501",22223,"arts & crafts"
"502",22276,"self-released"
"503",22237,"world famous"
"504",22273,"daptone"
"505",22274,"self-released"
"506",22241,"stones throw"
"507",22233,"thrill jockey"
"508",22248,"4ad"
"509",22236,"scissor tail"
"510",22242,"sub pop"
"511",22239,"pi"
"512",22174,"motown"
"513",22267,"iron works"
"514",22270,"sacred bones"
"515",22230,"geographic north"
"516",22169,"i own you"
"517",22169,"upset the rhythm"
"518",22246,"teklife"
"519",22272,"goofin'"
"520",22227,"orchid tapes"
"521",22228,"fat possum"
"522",22245,"warp"
"523",22210,"rhymesayers"
"524",22264,"triple b"
"525",22263,"kanine"
"526",22265,"lakeshore"
"527",22261,"self-released"
"528",22234,"endless xclusive"
"529",22226,"secretly canadian"
"530",22262,"rca"
"531",22193,"warner bros."
"532",22193,"ovo sound"
"533",22244,"mexican summer"
"534",22217,"self-released"
"535",22232,"mello music group"
"536",22020,"interscope"
"537",22020,"ear drummer"
"538",22215,"moshi moshi"
"539",22225,"greco-roman"
"540",22225,"city slang"
"541",22220,"better days"
"542",22131,"too pure"
"543",22221,"self-released"
"544",22247,"flying nun"
"545",22198,"dead oceans"
"546",22214,"a-ton"
"547",22185,"castle face"
"548",22207,"carpark"
"549",22189,"dfa"
"550",22240,"self-released"
"551",22150,"polyvinyl"
"552",22197,"interscope"
"553",22213,"rca"
"554",22213,"legacy"
"555",22208,"die orakel"
"556",22202,"mass appeal"
"557",22219,"intercoastal artists"
"558",22206,"astro nautico"
"559",22151,"joy void"
"560",22137,"atlantic"
"561",22200,"famous class"
"562",22216,"columbia"
"563",22209,"ghostly international"
"564",22170,"ghostly international"
"565",22139,"domino"
"566",22218,"self-released"
"567",22182,"music from memory"
"568",22203,"orange mountain"
"569",22044,"epic"
"570",22186,"sub pop"
"571",22204,"cam & china"
"572",22188,"blue note"
"573",22205,"nordvis"
"574",22205,"bindrune"
"575",22191,"epic"
"576",22199,"1-800 dinosaur"
"577",22195,"trunk"
"578",22148,"erased tapes"
"579",22196,"epitaph"
"580",22201,"self-released"
"581",22187,"gndwire"
"582",22179,"lauren"
"583",22149,"jagjaguwar"
"584",22152,"l.a. club resource"
"585",22192,"esp institute"
"586",22165,"sacred bones"
"587",22163,"rca"
"588",22163,"little tokyo"
"589",22143,"dim mak"
"590",22183,"growing bin"
"591",22178,"polyvinyl"
"592",22168,"merge"
"593",22145,"technicolour"
"594",22142,"nuclear blast"
"595",22184,"exit"
"596",22162,"thrill jockey"
"597",22107,"warner bros."
"598",22159,"philips"
"599",22118,"efficient space"
"600",22194,"topshelf"
"601",22133,"profound lore"
