"","reviewid","genre"
"673",21883,"pop/r&b"
"674",22076,"experimental"
"675",22067,"rock"
"676",22084,"rock"
"677",22069,"rock"
"678",22056,"rock"
"679",22054,"rock"
"680",22079,"rap"
"681",22081,"rock"
"682",22063,"rock"
"683",22082,"experimental"
"684",22077,"rap"
"685",22078,"electronic"
"686",22066,"rock"
"687",22022,"experimental"
"688",22052,"pop/r&b"
"689",22070,"rock"
"690",22029,"pop/r&b"
"691",22021,"rock"
"692",22030,"experimental"
"693",22013,"rock"
"694",22013,"experimental"
"695",21969,"folk/country"
"696",22001,"rock"
"697",22055,"rock"
"698",22041,"rock"
"699",22041,"metal"
"700",22068,"rock"
"701",22042,"electronic"
"702",22039,"electronic"
"703",21985,"rock"
"704",22018,"rock"
"705",22018,"electronic"
"706",22058,"pop/r&b"
"707",21968,"rock"
"708",22053,"rock"
"709",22019,"electronic"
"710",22014,"rock"
"711",22014,"electronic"
"712",22038,"jazz"
"713",22038,"experimental"
"714",22007,"jazz"
"715",22050,"rock"
"716",21719,"pop/r&b"
"717",22012,"rock"
"718",22032,"experimental"
"719",22049,"electronic"
"720",22048,"rock"
"721",22017,"electronic"
"722",22005,"rock"
"723",21970,"rock"
"724",22036,"rap"
"725",21971,"folk/country"
"726",21979,"rock"
"727",21994,"rock"
"728",21988,"rap"
"729",21984,"electronic"
"730",22000,"pop/r&b"
"731",21992,"rock"
"732",22010,"electronic"
"733",22011,"rock"
"734",22034,"rock"
"735",21951,"electronic"
"736",22037,"rock"
"737",22024,"rock"
"738",21884,"rock"
"739",22046,"rap"
"740",21982,"metal"
"741",21973,"rock"
"742",21726,"rock"
"743",22033,"rock"
"744",21991,"electronic"
"745",22004,"rock"
"746",22040,"pop/r&b"
"747",21974,"rock"
"748",21974,"electronic"
"749",22008,"experimental"
"750",22006,"rock"
"751",21972,"electronic"
"752",22031,"rap"
"753",21945,"rock"
"754",21995,"rock"
"755",21965,"rock"
"756",21965,"electronic"
"757",21882,"experimental"
"758",22002,"jazz"
"759",21990,"electronic"
"760",21885,"experimental"
"761",21967,"electronic"
"762",21966,"rock"
"763",21966,"global"
"764",21966,"experimental"
"765",21966,"electronic"
"766",21889,"metal"
"767",21964,"pop/r&b"
"768",21980,"electronic"
"769",21946,"rock"
"770",21946,"pop/r&b"
"771",21946,"electronic"
"772",21941,"rock"
"773",21941,"electronic"
"774",21931,"rock"
"775",21953,"rock"
"776",21987,"rock"
"777",21996,"electronic"
"778",21999,"rock"
"779",21998,"rap"
"780",21978,"rock"
"781",21961,"rock"
"782",21961,"electronic"
"783",21722,"rock"
"784",21952,"rock"
"785",21997,"rock"
"786",21872,"rock"
"787",21954,"rock"
"788",21986,"rock"
"789",21962,"rock"
"790",21962,"electronic"
"791",21938,"electronic"
"792",21654,"metal"
"793",21871,"rock"
"794",21828,"rock"
"795",21959,"rock"
"796",21959,"metal"
"797",21977,"rock"
"798",21981,"rap"
"799",21904,"rap"
"800",21873,"folk/country"
"801",21960,"global"
"802",21890,"rock"
"803",21913,"rap"
"804",21932,"pop/r&b"
"805",21942,"pop/r&b"
"806",21937,"rock"
"807",21921,"electronic"
"808",21916,"folk/country"
"809",21976,"rap"
"810",21915,"rock"
"811",21944,"rock"
"812",21723,"electronic"
"813",21958,"electronic"
"814",21975,"rock"
"815",21957,"rap"
"816",21917,"rock"
"817",21943,"rock"
"818",21910,"rock"
"819",21956,"folk/country"
"820",21891,"pop/r&b"
"821",21718,"rock"
"822",21922,"pop/r&b"
"823",21786,"electronic"
"824",21950,"electronic"
"825",21821,"jazz"
"826",21947,"electronic"
"827",21934,"experimental"
"828",21675,"rock"
"829",21940,"rap"
"830",21933,"folk/country"
"831",21949,"global"
"832",21948,"rock"
"833",21955,"rock"
"834",21536,"rock"
"835",21936,"rock"
"836",21892,"pop/r&b"
"837",21874,"electronic"
"838",21584,"experimental"
"839",21880,"rock"
"840",21896,"rock"
"841",21923,"pop/r&b"
"842",21929,"rock"
"843",21914,"folk/country"
"844",21939,"rock"
"845",21926,"electronic"
"846",21893,"experimental"
"847",21868,"rock"
"848",21920,"electronic"
"849",21864,"folk/country"
"850",21894,"rock"
"851",21935,"rock"
"852",21721,"jazz"
"853",21673,"rock"
"854",21928,"rap"
"855",21898,"rock"
"856",21875,"rock"
"857",21875,"folk/country"
"858",21771,"rock"
"859",21725,"folk/country"
"860",21912,"electronic"
"861",21865,"pop/r&b"
"862",21802,"pop/r&b"
"863",21676,"rock"
"864",21887,"rock"
"865",21919,"electronic"
"866",21909,"rap"
